10248;1996-07-04 00:00:00.000;11;Dairy Products;5;Cooperativa de Quesos 'Las Cabras';Spain;168,00;France
10248;1996-07-04 00:00:00.000;42;Grains/Cereals;20;Leka Trading;Singapore;98,00;France
10248;1996-07-04 00:00:00.000;72;Dairy Products;14;Formaggi Fortini s.r.l.;Italy;174,00;France
10249;1996-07-05 00:00:00.000;14;Produce;6;Mayumi's;Japan;167,40;Germany
10249;1996-07-05 00:00:00.000;51;Produce;24;G'day, Mate;Australia;1696,00;Germany
10250;1996-07-08 00:00:00.000;41;Seafood;19;New England Seafood Cannery;USA;77,00;Brazil
10250;1996-07-08 00:00:00.000;51;Produce;24;G'day, Mate;Australia;1484,00;Brazil
10250;1996-07-08 00:00:00.000;65;Condiments;2;New Orleans Cajun Delights;USA;252,00;Brazil
10251;1996-07-08 00:00:00.000;22;Grains/Cereals;9;PB Knäckebröd AB;Sweden;100,80;France
10251;1996-07-08 00:00:00.000;57;Grains/Cereals;26;Pasta Buttini s.r.l.;Italy;234,00;France
10251;1996-07-08 00:00:00.000;65;Condiments;2;New Orleans Cajun Delights;USA;336,00;France
10252;1996-07-09 00:00:00.000;20;Confections;8;Specialty Biscuits, Ltd.;UK;2592,00;Belgium
10252;1996-07-09 00:00:00.000;33;Dairy Products;15;Norske Meierier;Norway;50,00;Belgium
10252;1996-07-09 00:00:00.000;60;Dairy Products;28;Gai pâturage;France;1088,00;Belgium
10253;1996-07-10 00:00:00.000;31;Dairy Products;14;Formaggi Fortini s.r.l.;Italy;200,00;Brazil
10253;1996-07-10 00:00:00.000;39;Beverages;18;Aux joyeux ecclésiastiques;France;604,80;Brazil
10253;1996-07-10 00:00:00.000;49;Confections;23;Karkki Oy;Finland;640,00;Brazil
10254;1996-07-11 00:00:00.000;24;Beverages;10;Refrescos Americanas LTDA;Brazil;54,00;Switzerland
10254;1996-07-11 00:00:00.000;55;Meat/Poultry;25;Ma Maison;Canada;403,20;Switzerland
10254;1996-07-11 00:00:00.000;74;Produce;4;Tokyo Traders;Japan;168,00;Switzerland
10255;1996-07-12 00:00:00.000;2;Beverages;1;Exotic Liquids;UK;304,00;Switzerland
10255;1996-07-12 00:00:00.000;16;Confections;7;Pavlova, Ltd.;Australia;486,50;Switzerland
10255;1996-07-12 00:00:00.000;36;Seafood;17;Svensk Sjöföda AB;Sweden;380,00;Switzerland
10255;1996-07-12 00:00:00.000;59;Dairy Products;28;Gai pâturage;France;1320,00;Switzerland
10256;1996-07-15 00:00:00.000;53;Meat/Poultry;24;G'day, Mate;Australia;393,00;Brazil
10256;1996-07-15 00:00:00.000;77;Condiments;12;Plutzer Lebensmittelgroßmärkte AG;Germany;124,80;Brazil
10257;1996-07-16 00:00:00.000;27;Confections;11;Heli Süßwaren GmbH & Co. KG;Germany;877,50;Venezuela
10257;1996-07-16 00:00:00.000;39;Beverages;18;Aux joyeux ecclésiastiques;France;86,40;Venezuela
10257;1996-07-16 00:00:00.000;77;Condiments;12;Plutzer Lebensmittelgroßmärkte AG;Germany;156,00;Venezuela
10258;1996-07-17 00:00:00.000;2;Beverages;1;Exotic Liquids;UK;760,00;Austria
10258;1996-07-17 00:00:00.000;5;Condiments;2;New Orleans Cajun Delights;USA;1105,00;Austria
10258;1996-07-17 00:00:00.000;32;Dairy Products;14;Formaggi Fortini s.r.l.;Italy;153,60;Austria
10259;1996-07-18 00:00:00.000;21;Confections;8;Specialty Biscuits, Ltd.;UK;80,00;Mexico
10259;1996-07-18 00:00:00.000;37;Seafood;17;Svensk Sjöföda AB;Sweden;20,80;Mexico
10260;1996-07-19 00:00:00.000;41;Seafood;19;New England Seafood Cannery;USA;123,20;Germany
10260;1996-07-19 00:00:00.000;57;Grains/Cereals;26;Pasta Buttini s.r.l.;Italy;780,00;Germany
10260;1996-07-19 00:00:00.000;62;Confections;29;Forêts d'érables;Canada;591,00;Germany
10260;1996-07-19 00:00:00.000;70;Beverages;7;Pavlova, Ltd.;Australia;252,00;Germany
10261;1996-07-19 00:00:00.000;21;Confections;8;Specialty Biscuits, Ltd.;UK;160,00;Brazil
10261;1996-07-19 00:00:00.000;35;Beverages;16;Bigfoot Breweries;USA;288,00;Brazil
10262;1996-07-22 00:00:00.000;5;Condiments;2;New Orleans Cajun Delights;USA;204,00;USA
10262;1996-07-22 00:00:00.000;7;Produce;3;Grandma Kelly's Homestead;USA;360,00;USA
10262;1996-07-22 00:00:00.000;56;Grains/Cereals;26;Pasta Buttini s.r.l.;Italy;60,80;USA
